bowler,runs_conceded,balls,matches,wickets,economy,overs
A Ashish Reddy,392,264,20,18,8.91,44.0
A Chandila,245,234,12,11,6.28,39.0
A Kumble,1063,970,42,45,6.58,161.7
A Mishra,3786,3122,147,156,7.28,520.3
A Mithun,462,297,16,7,9.33,49.5
A Nehra,2473,1917,88,106,7.74,319.5
A Singh,743,534,26,31,8.35,89.0
A Symonds,677,528,30,20,7.69,88.0
A Zampa,273,221,11,19,7.41,36.8
AA Chavan,331,248,13,8,8.01,41.3
AB Agarkar,1137,784,42,29,8.7,130.7
AB Dinda,2031,1530,75,69,7.96,255.0
AB McDonald,261,186,10,11,8.42,31.0
AC Thomas,406,317,15,14,7.68,52.8
AD Mascarenhas,362,308,13,19,7.05,51.3
AD Mathews,1071,792,44,27,8.11,132.0
AD Russell,1537,1043,61,55,8.84,173.8
AG Murtaza,313,264,12,9,7.11,44.0
AJ Tye,829,596,26,39,8.35,99.3
AM Nayar,312,229,19,9,8.17,38.2
AM Salvi,195,150,7,7,7.8,25.0
AN Ahmed,489,349,17,12,8.41,58.2
AR Patel,2143,1713,81,71,7.51,285.5
AS Rajpoot,636,435,23,22,8.77,72.5
Anand Rajan,194,150,8,8,7.76,25.0
Ankit Sharma,461,380,23,13,7.28,63.3
Anureet Singh,620,418,22,18,8.9,69.7
Avesh Khan,258,157,8,5,9.86,26.2
Azhar Mahmood,693,542,23,29,7.67,90.3
B Akhil,241,189,13,6,7.65,31.5
B Kumar,3134,2620,117,133,7.18,436.7
B Laughlin,276,169,9,10,9.8,28.2
B Lee,1086,888,38,25,7.34,148.0
B Stanlake,194,144,6,7,8.08,24.0
BA Bhatt,401,297,15,12,8.1,49.5
BA Stokes,824,589,30,26,8.39,98.2
BAW Mendis,281,241,10,8,7.0,40.2
BB Sran,739,486,24,18,9.12,81.0
BCJ Cutting,424,281,17,10,9.05,46.8
BE Hendricks,229,151,7,9,9.1,25.2
BJ Hodge,301,234,20,17,7.72,39.0
BW Hilfenhaus,482,375,17,22,7.71,62.5
Basil Thampi,654,402,19,16,9.76,67.0
Bipul Sharma,566,426,28,16,7.97,71.0
C de Grandhomme,310,218,19,6,8.53,36.3
CH Gayle,704,552,37,18,7.65,92.0
CH Morris,1719,1288,61,69,8.01,214.7
CJ Anderson,506,297,22,11,10.22,49.5
CJ Jordan,298,200,11,12,8.94,33.3
CK Langeveldt,191,157,7,13,7.3,26.2
CR Brathwaite,377,257,16,13,8.8,42.8
CR Woakes,573,374,18,25,9.19,62.3
CRD Fernando,295,238,10,17,7.44,39.7
D Wiese,398,279,14,16,8.56,46.5
DE Bollinger,688,578,27,37,7.14,96.3
DJ Bravo,3578,2592,131,147,8.28,432.0
DJ Hooda,306,224,20,6,8.2,37.3
DJ Hussey,478,317,26,8,9.05,52.8
DJG Sammy,347,238,19,11,8.75,39.7
DL Chahar,864,693,34,33,7.48,115.5
DL Vettori,886,777,34,28,6.84,129.5
DP Nannes,768,650,29,28,7.09,108.3
DP Vijaykumar,200,154,9,4,7.79,25.7
DR Smith,806,543,46,26,8.91,90.5
DS Kulkarni,2347,1752,90,86,8.04,292.0
DT Christian,1034,786,40,34,7.89,131.0
DW Steyn,2334,2113,92,96,6.63,352.2
FH Edwards,151,141,6,5,6.43,23.5
GB Hogg,568,459,21,23,7.42,76.5
GD McGrath,362,325,14,12,6.68,54.2
GJ Maxwell,600,420,43,16,8.57,70.0
H Gurney,235,163,8,7,8.65,27.2
H Viljoen,224,138,6,7,9.74,23.0
HH Pandya,1317,872,60,42,9.06,145.3
HV Patel,1210,838,41,43,8.66,139.7
Harbhajan Singh,3945,3377,157,146,7.01,562.8
Harmeet Singh,685,529,27,26,7.77,88.2
I Sharma,2574,1928,89,71,8.01,321.3
I Sodhi,205,181,8,9,6.8,30.2
IC Pandey,604,464,24,18,7.81,77.3
IK Pathan,2632,2044,101,80,7.73,340.7
Imran Tahir,1613,1228,55,79,7.88,204.7
Iqbal Abdulla,1099,920,48,40,7.17,153.3
J Archer,636,495,21,26,7.71,82.5
J Botha,799,694,34,25,6.91,115.7
J Suchith,388,270,14,12,8.62,45.0
J Syed Mohammad,282,192,11,8,8.81,32.0
J Theron,290,218,10,9,7.98,36.3
J Yadav,246,224,12,5,6.59,37.3
JA Morkel,2324,1736,87,85,8.03,289.3
JD Ryder,308,236,16,8,7.83,39.3
JD Unadkat,2191,1507,72,77,8.72,251.2
JDP Oram,356,238,14,9,8.97,39.7
JEC Franklin,223,153,15,9,8.75,25.5
JH Kallis,2286,1751,89,65,7.83,291.8
JJ Bumrah,2235,1755,77,82,7.64,292.5
JO Holder,304,219,11,5,8.33,36.5
JP Duminy,815,678,48,23,7.21,113.0
JP Faulkner,1777,1232,60,59,8.65,205.3
JR Hopes,553,360,20,14,9.22,60.0
Joginder Sharma,411,263,15,12,9.38,43.8
K Ahmed,323,227,10,19,8.54,37.8
K Gowtham,501,361,22,11,8.33,60.2
K Paul,231,169,8,9,8.2,28.2
K Rabada,563,417,18,31,8.1,69.5
KA Pollard,1710,1206,81,55,8.51,201.0
KC Cariappa,343,218,11,8,9.44,36.3
KH Pandya,1123,946,53,38,7.12,157.7
KK Cooper,758,577,25,33,7.88,96.2
KP Appanna,283,216,13,9,7.86,36.0
KP Pietersen,208,174,13,7,7.17,29.0
KV Sharma,1468,1108,61,54,7.95,184.7
KW Richardson,437,317,14,18,8.27,52.8
Kamran Khan,224,161,9,9,8.35,26.8
Karanveer Singh,314,204,9,12,9.24,34.0
Kuldeep Yadav,1138,824,39,38,8.29,137.3
L Balaji,2011,1516,73,76,7.96,252.7
L Ngidi,161,156,7,11,6.19,26.0
L Plunkett,227,150,7,4,9.08,25.0
LR Shukla,442,316,27,15,8.39,52.7
M Ali,265,229,14,9,6.94,38.2
M Ashwin,543,418,22,15,7.79,69.7
M Kartik,1376,1154,55,31,7.15,192.3
M Markande,438,300,17,16,8.76,50.0
M Morkel,2065,1642,70,77,7.55,273.7
M Muralitharan,1693,1526,66,63,6.66,254.3
M Ntini,255,212,9,7,7.22,35.3
M Ur Rahman,467,362,16,17,7.74,60.3
MA Starc,692,583,26,34,7.12,97.2
MC Henriques,1224,891,55,38,8.24,148.5
MF Maharoof,511,425,20,27,7.21,70.8
MG Johnson,1670,1240,54,61,8.08,206.7
MJ McClenaghan,1781,1283,56,71,8.33,213.8
MM Patel,1716,1366,63,74,7.54,227.7
MM Sharma,2416,1735,85,91,8.36,289.2
MN Samuels,279,214,11,9,7.82,35.7
MP Stoinis,573,367,24,15,9.37,61.2
MR Marsh,410,317,18,20,7.76,52.8
MS Gony,1285,893,44,37,8.63,148.8
Mohammad Asif,301,193,8,8,9.36,32.2
Mohammad Nabi,314,271,13,11,6.95,45.2
Mohammed Shami,1533,1035,49,40,8.89,172.5
Mohammed Siraj,829,555,26,28,8.96,92.5
Mustafizur Rahman,686,549,24,24,7.5,91.5
N Saini,422,293,13,11,8.64,48.8
NLTC Perera,1016,701,36,31,8.7,116.8
NM Coulter-Nile,723,570,25,36,7.61,95.0
P Amarnath,241,132,6,7,10.95,22.0
P Awana,1023,751,33,39,8.17,125.2
P Krishna,649,419,18,14,9.29,69.8
P Kumar,3198,2525,119,90,7.6,420.8
P Negi,938,716,42,34,7.86,119.3
P Parameswaran,222,155,8,9,8.59,25.8
PC Valthaty,201,151,10,7,7.99,25.2
PJ Cummins,504,362,16,17,8.35,60.3
PJ Sangwan,1151,807,39,35,8.56,134.5
PP Chawla,4089,3126,156,149,7.85,521.0
PP Ojha,2330,1901,90,88,7.35,316.8
PV Tambe,847,660,33,27,7.7,110.0
Pankaj Singh,458,301,17,11,9.13,50.2
Parvez Rasool,270,198,11,4,8.18,33.0
R Ashwin,3257,2927,136,122,6.68,487.8
R Bhatia,2027,1638,91,71,7.42,273.0
R Dhawan,624,491,25,18,7.63,81.8
R McLaren,539,357,18,12,9.06,59.5
R Rampaul,300,264,12,14,6.82,44.0
R Sathish,228,139,14,3,9.84,23.2
R Sharma,1093,928,44,40,7.07,154.7
R Shukla,210,123,7,5,10.24,20.5
R Tewatia,353,296,18,13,7.16,49.3
R Vinay Kumar,2972,2131,104,105,8.37,355.2
RA Jadeja,3151,2497,142,107,7.57,416.2
RD Chahar,362,324,15,15,6.7,54.0
RE van der Merwe,503,443,21,21,6.81,73.8
RG Sharma,434,332,30,15,7.84,55.3
RJ Harris,1037,833,37,45,7.47,138.8
RP Singh,2328,1788,82,90,7.81,298.0
RR Powar,513,427,26,12,7.21,71.2
RR Raje,206,140,10,6,8.83,23.3
RS Bopara,285,206,14,11,8.3,34.3
Rashid Khan,1233,1095,46,55,6.76,182.5
S Aravind,1026,761,38,45,8.09,126.8
S Badree,319,258,12,11,7.42,43.0
S Curran,320,199,9,10,9.65,33.2
S Gopal,748,590,30,38,7.61,98.3
S Kaul,1401,985,45,49,8.53,164.2
S Kaushik,299,205,10,6,8.75,34.2
S Ladda,223,139,9,5,9.63,23.2
S Lamichhane,301,210,9,13,8.6,35.0
S Mavi,266,169,9,5,9.44,28.2
S Nadeem,1562,1260,62,42,7.44,210.0
S Randiv,217,174,8,6,7.48,29.0
S Sharma,349,256,11,12,8.18,42.7
S Sreesanth,1166,903,44,40,7.75,150.5
S Tyagi,296,212,14,6,8.38,35.3
SB Bangar,214,150,9,4,8.56,25.0
SB Jakati,1447,1087,57,46,7.99,181.2
SB Styris,272,216,11,8,7.56,36.0
SC Ganguly,367,277,20,10,7.95,46.2
SE Bond,219,186,8,9,7.06,31.0
SJ Srivastava,413,283,14,14,8.76,47.2
SK Raina,1117,908,69,25,7.38,151.3
SK Trivedi,1889,1515,75,65,7.48,252.5
SK Warne,1426,1194,54,56,7.17,199.0
SL Malinga,3345,2845,122,170,7.05,474.2
SM Pollock,303,276,13,11,6.59,46.0
SMSM Senanayake,208,192,8,9,6.5,32.0
SN Thakur,1041,707,35,36,8.83,117.8
SP Narine,2855,2559,109,122,6.69,426.5
SR Watson,2645,2042,105,92,7.77,340.3
ST Jayasuriya,381,294,21,13,7.78,49.0
STR Binny,748,595,63,22,7.54,99.2
SW Tait,599,482,21,23,7.46,80.3
Sandeep Sharma,1908,1496,68,83,7.65,249.3
Shahid Afridi,233,181,10,9,7.72,30.2
Shakib Al Hasan,1643,1328,62,59,7.42,221.3
Sohail Tanvir,256,248,11,22,6.19,41.3
T Thushara,157,137,6,8,6.88,22.8
TA Boult,1111,766,33,38,8.7,127.7
TG Southee,1279,891,40,28,8.61,148.5
TL Suman,198,152,11,6,7.82,25.3
TM Dilshan,363,271,25,5,8.04,45.2
UT Yadav,3489,2498,118,119,8.38,416.3
Umar Gul,186,141,6,12,7.91,23.5
V Kohli,363,257,26,4,8.47,42.8
V Pratap Singh,293,204,9,10,8.62,34.0
V Sehwag,235,137,15,6,10.29,22.8
VR Aaron,1326,922,45,42,8.63,153.7
VRV Singh,542,364,18,12,8.93,60.7
VS Malik,263,207,13,6,7.62,34.5
VY Mahesh,497,346,17,21,8.62,57.7
WD Parnell,686,577,26,26,7.13,96.2
WPUJC Vaas,356,284,13,18,7.52,47.3
Washington Sundar,453,354,20,16,7.68,59.0
Y Venugopal Rao,330,216,20,6,9.17,36.0
YA Abdulla,299,210,11,15,8.54,35.0
YK Pathan,1400,1147,82,41,7.32,191.2
YS Chahal,2330,1793,83,97,7.8,298.8
Yuvraj Singh,1079,870,73,36,7.44,145.0
Z Khan,2771,2202,99,102,7.55,367.0
