batsman,total_runs,total_balls,fours,sixes,innings,dismissals,strike_rate,average,player_type
A Mishra,366,389,30,5,54,30.0,94.1,12.2,Support
A Symonds,974,750,74,41,36,26.0,129.9,37.5,Match Winner
AA Jhunjhunwala,217,210,19,5,15,14.0,103.3,15.5,Support
AB de Villiers,4403,2906,357,212,142,104.0,151.5,42.3,Match Winner
AC Gilchrist,2069,1495,239,92,80,76.0,138.4,27.2,Match Winner
AD Mathews,724,575,44,29,41,31.0,125.9,23.4,Support
AD Russell,1414,753,98,119,52,41.0,187.8,34.5,Match Winner
AJ Finch,1741,1329,176,67,73,65.0,131.0,26.8,Match Winner
AL Menaria,401,356,24,18,23,22.0,112.6,18.2,Support
AM Nayar,672,577,55,20,50,39.0,116.5,17.2,Support
AM Rahane,3828,3133,404,74,132,117.0,122.2,32.7,Anchor
AP Tare,339,273,40,11,27,24.0,124.2,14.1,Support
AR Patel,802,630,47,35,62,43.0,127.3,18.7,Support
AS Yadav,1000,747,113,28,35,35.0,133.9,28.6,Match Winner
AT Rayudu,3313,2620,278,120,138,114.0,126.5,29.1,Anchor
Azhar Mahmood,388,303,39,13,21,19.0,128.1,20.4,Aggressive
B Chipli,280,251,28,7,21,16.0,111.6,17.5,Support
BA Stokes,641,481,43,25,32,30.0,133.3,21.4,Aggressive
BB McCullum,2884,2186,293,129,109,106.0,131.9,27.2,Match Winner
BJ Hodge,1400,1118,122,43,63,46.0,125.2,30.4,Anchor
C de Grandhomme,306,225,18,17,21,15.0,136.0,20.4,Aggressive
CA Lynn,1293,911,128,62,41,37.0,141.9,34.9,Match Winner
CA Pujara,390,391,50,4,22,18.0,99.7,21.7,Support
CH Gayle,4508,2970,373,326,124,109.0,151.8,41.4,Match Winner
CH Morris,519,328,37,27,37,20.0,158.2,26.0,Match Winner
CJ Anderson,538,423,40,31,29,22.0,127.2,24.5,Support
CL White,954,755,76,36,45,35.0,126.4,27.3,Anchor
DA Miller,1858,1333,127,87,77,54.0,139.4,34.4,Match Winner
DA Warner,4722,3305,459,181,126,113.0,142.9,41.8,Match Winner
DB Das,304,261,23,16,22,12.0,116.5,25.3,Anchor
DB Ravi Teja,375,317,35,9,25,20.0,118.3,18.8,Support
DJ Bravo,1494,1156,118,60,99,63.0,129.2,23.7,Aggressive
DJ Hooda,526,413,27,24,45,33.0,127.4,15.9,Aggressive
DJ Hussey,1322,1075,90,60,61,49.0,123.0,27.0,Anchor
DJG Sammy,295,241,15,18,20,15.0,122.4,19.7,Support
DPMD Jayawardene,1802,1462,200,39,78,63.0,123.3,28.6,Anchor
DR Smith,2385,1764,245,117,88,81.0,135.2,29.4,Match Winner
DT Christian,448,374,22,19,34,24.0,119.8,18.7,Support
E Lewis,441,328,38,26,16,16.0,134.5,27.6,Match Winner
EJG Morgan,854,705,72,34,45,38.0,121.1,22.5,Support
F du Plessis,1864,1462,164,59,64,56.0,127.5,33.3,Match Winner
G Gambhir,4220,3404,492,59,151,135.0,124.0,31.3,Anchor
GC Smith,739,668,94,9,29,30.0,110.6,24.6,Support
GH Vihari,280,313,23,1,21,18.0,89.5,15.6,Support
GJ Bailey,663,544,59,19,36,29.0,121.9,22.9,Support
GJ Maxwell,1400,867,110,91,67,62.0,161.5,22.6,Aggressive
Gurkeerat Singh,443,342,47,11,27,26.0,129.5,17.0,Aggressive
HH Gibbs,886,807,83,31,36,32.0,109.8,27.7,Anchor
HH Pandya,1086,692,73,69,61,39.0,156.9,27.8,Match Winner
HM Amla,577,407,60,21,16,13.0,141.8,44.4,Match Winner
Harbhajan Singh,832,600,79,42,86,54.0,138.7,15.4,Aggressive
IK Pathan,1139,946,87,37,82,53.0,120.4,21.5,Support
Ishan Kishan,701,531,65,34,33,31.0,132.0,22.6,Aggressive
J Bairstow,455,283,49,18,10,8.0,160.8,56.9,Match Winner
J Botha,409,359,39,5,28,22.0,113.9,18.6,Support
JA Morkel,974,686,61,55,67,40.0,142.0,24.4,Aggressive
JC Buttler,1407,919,143,61,45,37.0,153.1,38.0,Match Winner
JD Ryder,604,458,69,19,29,29.0,131.9,20.8,Aggressive
JEC Franklin,327,301,25,9,16,11.0,108.6,29.7,Anchor
JH Kallis,2427,2222,255,44,95,89.0,109.2,27.3,Anchor
JP Duminy,2031,1636,126,79,75,49.0,124.1,41.4,Anchor
JP Faulkner,527,389,36,23,45,27.0,135.5,19.5,Aggressive
JR Hopes,417,306,49,11,19,17.0,136.3,24.5,Aggressive
K Goel,218,231,17,9,16,14.0,94.4,15.6,Support
KA Pollard,2762,1878,181,174,132,101.0,147.1,27.3,Match Winner
KC Sangakkara,1687,1392,195,27,68,69.0,121.2,24.4,Support
KD Karthik,3669,2816,358,101,162,140.0,130.3,26.2,Match Winner
KH Pandya,898,610,87,35,46,31.0,147.2,29.0,Match Winner
KK Nair,1465,1139,158,39,63,61.0,128.6,24.0,Aggressive
KL Rahul,1993,1431,178,81,58,49.0,139.3,40.7,Match Winner
KM Jadhav,1087,853,92,38,70,46.0,127.4,23.6,Aggressive
KP Pietersen,1001,743,91,40,36,28.0,134.7,35.8,Match Winner
KS Williamson,1309,964,111,44,41,34.0,135.8,38.5,Match Winner
KV Sharma,317,274,18,14,34,21.0,115.7,15.1,Support
LA Pomersbach,302,246,25,13,16,11.0,122.8,27.5,Anchor
LMP Simmons,1079,852,109,44,29,27.0,126.6,40.0,Anchor
LR Shukla,405,350,33,16,33,29.0,115.7,14.0,Support
LRPL Taylor,1017,822,66,46,54,41.0,123.7,24.8,Support
M Kaif,259,250,22,6,22,16.0,103.6,16.2,Support
M Manhas,514,470,43,10,38,24.0,109.4,21.4,Support
M Vijay,2589,2106,243,91,102,94.0,122.9,27.5,Anchor
M Vohra,1013,768,97,39,45,42.0,131.9,24.1,Aggressive
MA Agarwal,1269,988,117,52,72,68.0,128.4,18.7,Aggressive
MC Henriques,969,756,87,27,50,35.0,128.2,27.7,Match Winner
MD Mishra,237,208,24,8,17,15.0,113.9,15.8,Support
MEK Hussey,1977,1612,198,52,58,52.0,122.6,38.0,Anchor
MK Pandey,2847,2353,253,75,118,96.0,121.0,29.7,Anchor
MK Tiwary,1696,1449,156,40,83,61.0,117.0,27.8,Anchor
ML Hayden,1107,805,121,44,32,27.0,137.5,41.0,Match Winner
MP Stoinis,477,364,34,18,25,15.0,131.0,31.8,Match Winner
MS Bisla,798,702,93,23,39,37.0,113.7,21.6,Support
MS Dhoni,4450,3215,297,207,170,118.0,138.4,37.7,Match Winner
MV Boucher,394,309,32,13,23,15.0,127.5,26.3,Match Winner
Mandeep Singh,1538,1227,161,33,83,71.0,125.3,21.7,Support
N Rana,1093,806,85,60,41,39.0,135.6,28.0,Match Winner
NLTC Perera,422,307,23,26,30,24.0,137.5,17.6,Aggressive
NV Ojha,1555,1313,121,79,94,74.0,118.4,21.0,Support
OA Shah,506,389,34,23,22,13.0,130.1,38.9,Match Winner
P Kumar,340,314,22,17,57,34.0,108.3,10.0,Support
P Negi,366,289,27,16,35,26.0,126.6,14.1,Support
P Shaw,605,424,73,19,25,24.0,142.7,25.2,Match Winner
PA Patel,2868,2358,366,49,136,127.0,121.6,22.6,Support
PC Valthaty,505,418,61,20,23,22.0,120.8,23.0,Support
PP Chawla,584,524,54,18,75,50.0,111.5,11.7,Support
Q de Kock,1478,1110,156,54,50,46.0,133.2,32.1,Match Winner
R Ashwin,377,339,32,10,50,33.0,111.2,11.4,Support
